GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dc-con-model,org.bremersee.dccon.model,PasswordInformation.PasswordInformationBuilder,52,70,0,0,0,1,1,11,1,11
dc-con-model,org.bremersee.dccon.model,DnsZone.DnsZoneBuilder,37,49,0,0,0,1,1,8,1,8
dc-con-model,org.bremersee.dccon.model,DnsPair,59,139,13,17,0,13,11,18,1,13
dc-con-model,org.bremersee.dccon.model,DnsRecord,42,287,10,28,0,36,9,38,1,27
dc-con-model,org.bremersee.dccon.model,DnsNode.DnsNodeBuilder,32,42,0,0,0,1,1,7,1,7
dc-con-model,org.bremersee.dccon.model,DhcpLease,110,235,25,29,0,30,20,27,1,19
dc-con-model,org.bremersee.dccon.model,Password,42,98,9,13,0,17,8,16,1,12
dc-con-model,org.bremersee.dccon.model,DnsNode,47,134,12,14,0,16,10,15,1,11
dc-con-model,org.bremersee.dccon.model,UnknownFilter,2,67,1,4,0,12,1,5,0,3
dc-con-model,org.bremersee.dccon.model,Sid.SidBuilder,17,21,0,0,0,1,1,4,1,4
dc-con-model,org.bremersee.dccon.model,AvatarDefault,0,133,1,5,0,18,1,6,0,4
dc-con-model,org.bremersee.dccon.model,Sid,42,113,9,13,0,15,8,15,1,11
dc-con-model,org.bremersee.dccon.model,DnsZone,66,174,18,14,0,19,14,16,1,13
dc-con-model,org.bremersee.dccon.model,CommonAttributes,66,133,15,15,0,20,14,13,2,10
dc-con-model,org.bremersee.dccon.model,DomainUser,329,643,80,74,0,50,61,60,2,42
dc-con-model,org.bremersee.dccon.model,DomainGroup.DomainGroupBuilder,42,56,0,0,0,1,1,9,1,9
dc-con-model,org.bremersee.dccon.model,Password.PasswordBuilder,17,21,0,0,0,1,1,4,1,4
dc-con-model,org.bremersee.dccon.model,DhcpLease.DhcpLeaseBuilder,37,49,0,0,0,1,1,8,1,8
dc-con-model,org.bremersee.dccon.model,PasswordInformation,179,399,55,41,0,60,38,36,1,25
dc-con-model,org.bremersee.dccon.model,PasswordComplexity,0,73,0,4,0,12,0,6,0,4
dc-con-model,org.bremersee.dccon.model,DnsPair.DnsPairBuilder,22,28,0,0,0,1,1,5,1,5
dc-con-model,org.bremersee.dccon.model,DomainUser.DomainUserBuilder,112,154,0,0,0,1,1,23,1,23
dc-con-model,org.bremersee.dccon.model,DomainGroup,81,210,20,22,0,26,16,21,1,15
dc-con-model,org.bremersee.dccon.model,DnsRecord.DnsRecordBuilder,53,70,0,0,0,1,1,11,1,11
